CoVaRRNET	Bioinformatics lead and co-coordinator	projects/covarrnet.png		Bioinformatics lead and co-coordinator 	Sept 2022 - Present	"Simon Fraser University, Burnaby, BC"	"Canadian Coronavirus Variants Rapid Response Network (CoVaRR-NET), Computational Analysis, Modelling and Evolutionary Outcomes (CAMEO) initiative;Data analysis, code, visualization, and maintenance of the CoVaRR-Net  <a href=https://covarr-net.github.io/duotang/duotang.html target=_blank>Duotang notebook</a> for COVID19 genomic epidemiology and mathematical modelling to allow prediction of variants’ rate of spread and their potential impact on health care systems.;Investigation of emerging bioinformatics and computational tool needs, and subsequent workflow construction for detection of SARS-CoV-2 in wastewater metagenomic data.;Communication of key findings from SARS-CoV-2 genomic analysis across CoVaRR-Net pillars and to provincial health to assist in public health decision making. "	TRUE
CHILDStudy	Project Analytics	projects/child.png		Research Assistant - Bioinformatics and Micorbiome Analysis	Sept 2022 - Present	"Simon Fraser University, Burnaby, BC"	"Identification of bacterial biomarkers for medication use on the gut microbiota and modelling the impacts of medication practices on infant microbial dysbiosis.;Improved the curation guidelines for the ontological mapping of plain-text reason for medication use to ontology databases, which allowed expanded queries and potential machine learning based applications. "	TRUE
BreastCancerOmics	Multi-omic investigation of the molecular mechanisms underlying key metabolic gene in beast cancer	projects/breastcanceromics.png	<b>Figure:</b> A significance plot showing all potential differences in metabolism upon gene knock out in breast cancer cell lines.	Bioinformatics Consultant	Sept 2020-Present		"Identified key differences between experiment conditions that allowed the identification, and subsequent in vitro validation of the clinical significance of the interaction between two key metabolism genes in breast cancer.;Performed multi-omic data analysis, including transcriptomics, proteomics, and metabolomics.;Developed a web-based tool for the visualization of multi-omics data.;Github repo  <a href=# target=_blank>Embargoed until publication</a>"	TRUE
SLEBelugaMicrobiome	Analysis of Environmental and Animal Metagenomic Datasets in Relation to Contaminant Exposure	projects/slebeluga.png	<b>Figure:</b> Non-metric multidimensional scaling of SLE beluga skin and SLE water microbiomes. 	PhD Thesis Aim 3	Sept 2017 - Dec 2022	"Brinkman Lab, Simon Fraser University, Burnaby, BC"	Generated metagenomic microbiome data from St. Lawrence Estuary Beluga skins and surrounding seawater using Illumina and Oxford Nanopore technologies.;Application of correlative and machine learning based methods to identify potential bacterial biomarkers of contaminant exposure in the St. Lawrence Estuary belugas that can be validated in vitro.;<a href=https://doi.org/10.3389/fenvs.2022.954060 target=_blank>Published in Frontiers in Environmental Science</a>	TRUE
xBERTApplication	Exploratory investigation of utilizing deep learning methods to detect antimicrobial resistance genes and genomic islands in metagenomes	projects/xbert.png	<b>Figure:</b> Visualization of the BERT model in which certain k-mers are associated and thus leading to the classification of DNA sequences to Genomic Islands.	PhD Thesis COVID19 Shutdown Project	Sept 2017 - Dec 2022	"Brinkman Lab, Simon Fraser University, Burnaby, BC"	Application of natural language processing-based machine learning/artificial intelligence methodologies to the prediction of AMR genes and Genomic Islands from genomics data.;This resulted in a preliminary tool that showed improved accuracies compared to existing tools.;Github repo  <a href=# target=_blank>Embargoed until publication</a>	TRUE
AMRTimeApplication	Application: Read-based metagenomic AMR prediction tool	projects/amrtime.png		PhD Thesis Aim 2B	Sept 2017 - Dec 2022	"Brinkman Lab, Simon Fraser University, Burnaby, BC"	"Collaboration with Dr. Finlay Maguire;Development of a new read-based AMR prediction workflow that can be used to provide a more comprehensive prediction of environmental resistome.;STP-AMRTime is the variant calling module of AMRTime that detects variants conferring antimicrobial resistance in metagenomic datasets.;Workflow includes the utilization of bowtie2, the CARD database, and a custom machine learning based filter profile to detect AMR variants in metagenomic datasets.;Currently in beta-testing, Github Repo <a href=https://github.com/bfjia/ProjectAMRVariant target=_blank>here</a>"	TRUE
AMRAssessmentWorkflow	Application: Systematic evaluation of metagenomic read-based antimicrobial resistance gene detection 	projects/amrrecoveryassessment.png	<b>Figure:</b> Accuracy of evaluated methods and parameter settings with respect to read-based AMR detection.	PhD Thesis Aim 2B	Sept 2017 - Dec 2022	"Brinkman Lab, Simon Fraser University, Burnaby, BC"	Collaboration with Dr. Finlay Maguire @ Dalhousie University;Workflow to search a metagenomic dataset for AMR genes using a large number of homology search tools and paramterisations implemented in nextflow.;Capable of using ;Github Code <a href=https://github.com/bfjia/filter_flow target=_blank>here</a>	TRUE
MetagenomeSimulator	Application: Workflow for simulating metagenomes with gene insertions			PhD Thesis Aim 2B	Sept 2017 - Dec 2022	"Brinkman Lab, Simon Fraser University, Burnaby, BC"	Collaboration with Dr. Finlay Maguire;Metagenome simulator implemented in nextflow.;Includes function to insert genes at various copy numbers into the metagenome.;Github Repo <a href=https://github.com/bfjia/AMR_Metagenome_Simulator target=_blank>here</a>	TRUE
MAGAssessment	Metagenome-assembled genome binning methods with short reads disproportionately fail for plasmids and genomic islands	projects/magassessment.png	"<b>Figure:</b> MAGs Disproportionally Loses MGEs, AMR Genes and Virulence Factors. Chromosomes are recovered well but plasmids, GIs and in turn AMR genes and virulence factors are recovered poorly."	PhD Thesis Aim 2A	Sept 2017 - Dec 2022	"Brinkman Lab, Simon Fraser University, Burnaby, BC"	"Systematically investigated 12 pairs of state-of-the-art prediction tools and pipelines to evaluate the recovery accuracy of mobile genetic elements from metagenome assembled genomes.;Simulated a low complexity metagenomic dataset consisting of 30 bacterial taxa with various amount of mobile genetic elements in their genome.;Concluded that short-read MAG approaches, without further optimization, are largely ineffective for the analysis of mobile genes.;<a href=https://doi.org/10.1099/mgen.0.000436 target=_blank>Publication</a>"	TRUE
AMRMobilityTrends	"Revealing Antimicrobial Resistance Gene Mobility Trends Using >15,000 Replicons"	projects/amrmobilitytrends.png	<b>Figure:</b> Gene function specialization was defined as a “generalizability score” (purple bar; right Y-axis) or the average number of different drug classes that AMR gene under a particular mechanism confers resistance to. An inverse relationship was observed between how mobile a resistance mechanism is (left Y-axis) and its resistance generalizability. 	PhD Thesis Aim 1	Sept 2017 - Dec 2022	"Brinkman Lab, Simon Fraser University, Burnaby, BC"	Performed big data analysis of existing publicly available genomics data to gain insight into mobility trends for antimicrobial resistance (AMR) gene.;Identification of genes with high risk for environmental transmission that may be used for public health risk assessment.;Publication in draft. See <a href=https://bfjia.net/presentations target=_blank>presentations</a> for additional detail.	TRUE
DiabetesBiomarker	Similarities between bacterial GAD and human GAD65: Implications in gut mediated autoimmune type 1 diabetes	projects/diabetesbiomarker.png	<b>Figure:</b> Miseducation of antigen-presenting cells by bacterial GAD may contribute to pancreatic beta cell immune-mediated destruction.	Bioinformatics Consultant	July 2021 - Feb 2022	the(sugar)science	"Led the genomics-driven data analyses for the identification of early biomarkers of diabetes.;Utilized in silico genomics analysis to provide evidence that human beta cell GAD65 gene and certain gut bacterial GAD gene showed sequence and motif similarities, and overlap with human T-cell receptor epitopes, which may lead to the immune destruction of beta cells in Type 1 Diabetes.;<a href=https://doi.org/10.1371/journal.pone.0261103 target=_blank>Published in PLOS ONE</a>"	TRUE
